0.0000000000,0.0000000000,0.0018087117,0.0019091957,0.0019091957,0.0019091957,0.0019091957,0.0019091957,0.0019091957,0.0019091957,0.0019091957,0.0019091957,0.0019091957,0.0019091957,0.0019091957,0.0000000000
0.0000000000,0.0000000000,0.0000000000,0.0019018921,0.0019018921,0.0019018921,0.0019018921,0.0019018921,0.0019018921,0.0019018921,0.0019018921,0.0019018921,0.0019018921,0.0019018921,0.0019018921,0.0019018921
0.0019006602,0.0000000000,0.0000000000,0.0000000000,0.0019006602,0.0019006602,0.0019006602,0.0019006602,0.0019006602,0.0019006602,0.0019006602,0.0019006602,0.0019006602,0.0019006602,0.0019006602,0.0019006602
0.0018999554,0.0018999554,0.0000000000,0.0000000000,0.0000000000,0.0018999554,0.0018999554,0.0018999554,0.0018999554,0.0018999554,0.0018999554,0.0018999554,0.0018999554,0.0018999554,0.0018999554,0.0018999554
0.0018993380,0.0018993380,0.0018993380,0.0000000000,0.0000000000,0.0000000000,0.0018993380,0.0018993380,0.0018993380,0.0018993380,0.0018993380,0.0018993380,0.0018993380,0.0018993380,0.0018993380,0.0018993380
0.0018986900,0.0018986900,0.0018986900,0.0018986900,0.0000000000,0.0000000000,0.0000000000,0.0018986900,0.0018986900,0.0018986900,0.0018986900,0.0018986900,0.0018986900,0.0018986900,0.0018986900,0.0018986900
0.0018987110,0.0018987110,0.0018987110,0.0018987110,0.0018987110,0.0000000000,0.0000000000,0.0000000000,0.0018987110,0.0018987110,0.0018987110,0.0018987110,0.0018987110,0.0018987110,0.0018987110,0.0018987110
0.0018987205,0.0018987205,0.0018987205,0.0018987205,0.0018987205,0.0018987205,0.0000000000,0.0000000000,0.0000000000,0.0018987205,0.0018987205,0.0018987205,0.0018987205,0.0018987205,0.0018987205,0.0018987205
0.0018992758,0.0018992758,0.0018992758,0.0018992758,0.0018992758,0.0018992758,0.0018992758,0.0000000000,0.0000000000,0.0000000000,0.0018992758,0.0018992758,0.0018992758,0.0018992758,0.0018992758,0.0018992758
0.0019003439,0.0019003439,0.0019003439,0.0019003439,0.0019003439,0.0019003439,0.0019003439,0.0019003439,0.0000000000,0.0000000000,0.0000000000,0.0019003439,0.0019003439,0.0019003439,0.0019003439,0.0019003439
0.0018848935,0.0018848935,0.0018848935,0.0018848935,0.0018848935,0.0018848935,0.0018848935,0.0019840984,0.0018848935,0.0000000000,0.0000000000,0.0000000000,0.0018848935,0.0019840984,0.0018848935,0.0018848935
0.0018935128,0.0018935128,0.0018935128,0.0018935128,0.0019881885,0.0018935128,0.0019881885,0.0018935128,0.0018935128,0.0018935128,0.0000000000,0.0000000000,0.0000000000,0.0018935128,0.0017988372,0.0018935128
0.0019000446,0.0019000446,0.0019000446,0.0019000446,0.0019000446,0.0019000446,0.0019000446,0.0019000446,0.0019000446,0.0019000446,0.0019000446,0.0000000000,0.0000000000,0.0000000000,0.0019000446,0.0019000446
0.0018082028,0.0019086586,0.0019086586,0.0019086586,0.0019086586,0.0019086586,0.0019086586,0.0019086586,0.0019086586,0.0019086586,0.0019086586,0.0019086586,0.0000000000,0.0000000000,0.0000000000,0.0019086586
0.0018226066,0.0019238625,0.0019238625,0.0019238625,0.0019238625,0.0019238625,0.0019238625,0.0019238625,0.0019238625,0.0019238625,0.0018226066,0.0019238625,0.0018226066,0.0000000000,0.0000000000,0.0000000000
0.0000000000,0.0019022439,0.0019022439,0.0019022439,0.0019022439,0.0019022439,0.0019022439,0.0019022439,0.0019022439,0.0019022439,0.0019022439,0.0019022439,0.0019022439,0.0019022439,0.0000000000,0.0000000000
